epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.2877,1.1714,0.5385,0.3685,0.7574,0.9975,46.7842
2,1.0570,1.0017,0.5306,0.3611,0.9111,0.9959,60.0321
3,0.7900,0.6122,0.6679,0.5014,0.8769,0.9979,33.8595
4,0.5341,0.6750,0.7216,0.5644,0.8780,0.9984,27.2756
5,0.4249,0.4763,0.7331,0.5786,0.8414,0.9986,23.2468
6,0.3932,0.4184,0.7430,0.5911,0.8499,0.9986,22.1539
7,0.3766,0.3971,0.7554,0.6070,0.8671,0.9987,20.8516
8,0.3663,0.3986,0.7568,0.6088,0.8539,0.9987,21.2010
9,0.3567,0.4011,0.7562,0.6079,0.8492,0.9987,22.0416
10,0.3461,0.3989,0.7552,0.6067,0.8454,0.9987,21.3761
11,0.3395,0.3945,0.7580,0.6103,0.8497,0.9987,22.6538
12,0.3297,0.3930,0.7660,0.6208,0.8635,0.9988,21.2955
13,0.3212,0.4070,0.7553,0.6068,0.8480,0.9987,21.8802
14,0.3132,0.3998,0.7626,0.6163,0.8589,0.9987,21.7216
15,0.3056,0.4083,0.7536,0.6046,0.8438,0.9987,21.8614
16,0.2969,0.4086,0.7476,0.5970,0.8343,0.9987,21.8360
17,0.2883,0.4115,0.7497,0.5996,0.8378,0.9987,21.6496
18,0.2805,0.4160,0.7471,0.5962,0.8335,0.9987,22.3270
19,0.2739,0.4102,0.7544,0.6056,0.8441,0.9987,21.3506
20,0.2671,0.4099,0.7493,0.5991,0.8366,0.9987,22.2786
21,0.2629,0.4083,0.7507,0.6009,0.8408,0.9987,21.9937
22,0.2571,0.4180,0.7411,0.5887,0.8294,0.9987,22.5197
23,0.2522,0.4136,0.7470,0.5962,0.8393,0.9987,21.7803
24,0.2484,0.4169,0.7450,0.5936,0.8347,0.9987,21.8736
25,0.2439,0.4259,0.7389,0.5859,0.8268,0.9987,22.4456
26,0.2396,0.4256,0.7379,0.5846,0.8275,0.9987,22.2781
27,0.2370,0.4249,0.7415,0.5892,0.8307,0.9987,22.0174
