epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.2833,1.1503,0.6571,0.4893,0.9138,0.9976,28.4715
2,1.0398,0.9262,0.6223,0.4517,0.9031,0.9972,42.3393
3,0.7681,0.6584,0.7038,0.5430,0.8272,0.9985,25.3051
4,0.5178,0.5600,0.7550,0.6064,0.8438,0.9987,22.4331
5,0.3848,0.4228,0.7611,0.6144,0.8622,0.9987,18.3626
6,0.3368,0.3817,0.7617,0.6151,0.8722,0.9987,17.9421
7,0.3137,0.3789,0.7630,0.6168,0.8651,0.9987,18.2676
8,0.2959,0.3761,0.7644,0.6186,0.8589,0.9988,18.0046
9,0.2823,0.3830,0.7623,0.6159,0.8503,0.9988,18.1863
10,0.2701,0.3897,0.7575,0.6096,0.8434,0.9988,18.8975
11,0.2611,0.3840,0.7622,0.6158,0.8511,0.9988,18.7440
12,0.2520,0.3890,0.7603,0.6133,0.8526,0.9987,18.8426
13,0.2445,0.3898,0.7591,0.6118,0.8475,0.9988,18.5616
14,0.2395,0.3878,0.7608,0.6140,0.8501,0.9988,18.6315
15,0.2317,0.3951,0.7584,0.6109,0.8413,0.9988,20.0246
16,0.2264,0.3926,0.7593,0.6120,0.8426,0.9988,19.2777
17,0.2207,0.3941,0.7572,0.6093,0.8404,0.9988,19.2453
18,0.2172,0.3948,0.7567,0.6086,0.8394,0.9988,19.2024
19,0.2120,0.3859,0.7654,0.6200,0.8542,0.9988,18.6281
20,0.2084,0.3956,0.7583,0.6107,0.8419,0.9988,18.8520
21,0.2052,0.3903,0.7645,0.6188,0.8474,0.9988,19.0516
22,0.2014,0.3925,0.7632,0.6170,0.8443,0.9988,19.1201
23,0.1969,0.3938,0.7629,0.6167,0.8424,0.9988,19.3682
24,0.1949,0.3943,0.7633,0.6172,0.8436,0.9988,19.3650
25,0.1922,0.3949,0.7620,0.6155,0.8425,0.9988,19.0407
26,0.1900,0.3918,0.7647,0.6190,0.8462,0.9988,18.7237
27,0.1882,0.3953,0.7624,0.6160,0.8428,0.9988,18.9265
