epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.1165,0.6790,0.6267,0.4563,0.9231,0.9972,33.3733
2,0.5341,0.4778,0.6900,0.5267,0.8565,0.9982,23.5519
3,0.4315,0.4217,0.7602,0.6132,0.8852,0.9986,20.2594
4,0.3902,0.4539,0.7270,0.5711,0.8312,0.9986,20.0029
5,0.3658,0.4084,0.7464,0.5954,0.8804,0.9985,23.3966
6,0.3426,0.4269,0.7585,0.6110,0.8603,0.9987,19.5436
7,0.3279,0.4262,0.7561,0.6079,0.8657,0.9987,19.1215
8,0.3130,0.4308,0.7399,0.5871,0.8532,0.9986,21.9468
9,0.3028,0.4089,0.7580,0.6103,0.8777,0.9986,19.4443
10,0.2933,0.4379,0.7482,0.5976,0.8493,0.9987,19.1938
