epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4303,1.3087,0.6468,0.4780,0.8853,0.9976,24.5705
2,1.1422,1.0829,0.4614,0.2999,0.9290,0.9943,49.5488
3,0.8535,0.5983,0.6547,0.4867,0.8716,0.9978,36.1014
4,0.5037,0.4057,0.6512,0.4828,0.8694,0.9978,24.2170
5,0.3790,0.3887,0.7455,0.5942,0.8755,0.9986,21.1298
6,0.3514,0.4937,0.7827,0.6430,0.8589,0.9989,20.6738
7,0.3357,0.3810,0.7914,0.6548,0.8843,0.9989,17.0146
8,0.3244,0.3626,0.7850,0.6461,0.8783,0.9988,16.7776
9,0.3141,0.3683,0.7705,0.6267,0.8525,0.9988,18.3272
10,0.3040,0.3655,0.7709,0.6273,0.8576,0.9988,17.4830
11,0.2957,0.3659,0.7695,0.6253,0.8626,0.9988,17.8419
12,0.2869,0.3674,0.7683,0.6237,0.8607,0.9988,18.4843
13,0.2800,0.3692,0.7663,0.6211,0.8683,0.9987,17.9523
14,0.2724,0.3680,0.7592,0.6119,0.8877,0.9986,19.9902
15,0.2672,0.3772,0.7589,0.6115,0.8694,0.9987,19.3891
16,0.2606,0.3729,0.7629,0.6167,0.8676,0.9987,17.6144
17,0.2578,0.3770,0.7630,0.6169,0.8603,0.9987,17.3560
18,0.2529,0.3755,0.7608,0.6139,0.8682,0.9987,18.9587
19,0.2489,0.3773,0.7611,0.6143,0.8577,0.9987,19.2443
