epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.5118,1.4168,0.0000,0.0000,0.4970,0.9912,128.4145
2,1.3503,1.2771,0.0000,0.0000,0.4991,0.9953,120.9061
3,1.2088,1.1222,0.4337,0.2769,0.7466,0.9964,71.7797
4,1.0640,0.9974,0.4674,0.3050,0.9078,0.9947,79.0017
5,0.9394,0.8396,0.6247,0.4542,0.8813,0.9974,58.9811
6,0.7680,1.0482,0.0017,0.0009,0.5004,0.9972,103.3510
7,0.6171,1.0021,0.1188,0.0631,0.5318,0.9973,88.6336
8,0.5370,0.8290,0.5265,0.3573,0.6909,0.9981,54.4214
9,0.4985,0.6174,0.6721,0.5061,0.8019,0.9983,39.7809
10,0.4798,0.5247,0.7104,0.5509,0.8392,0.9984,38.2883
11,0.4705,0.4893,0.6996,0.5379,0.8455,0.9983,39.3308
12,0.4627,0.4882,0.7091,0.5493,0.8231,0.9985,37.1962
13,0.4554,0.4607,0.7041,0.5433,0.8677,0.9983,46.0880
14,0.4498,0.4693,0.6998,0.5382,0.8190,0.9985,36.9828
15,0.4468,0.4506,0.7109,0.5515,0.8432,0.9984,40.8006
16,0.4419,0.4651,0.6999,0.5383,0.8231,0.9984,35.2569
17,0.4382,0.4509,0.7038,0.5430,0.8402,0.9984,36.7336
18,0.4342,0.4606,0.7015,0.5403,0.8246,0.9984,34.8158
19,0.4305,0.4545,0.7074,0.5472,0.8167,0.9985,35.3564
20,0.4280,0.4594,0.7025,0.5414,0.8215,0.9985,34.3623
21,0.4255,0.4658,0.7069,0.5467,0.8130,0.9985,33.5400
22,0.4226,0.4467,0.7059,0.5454,0.8320,0.9984,34.3400
23,0.4190,0.4479,0.7084,0.5484,0.8305,0.9985,36.3727
24,0.4167,0.4618,0.6986,0.5368,0.8102,0.9985,34.6400
25,0.4137,0.4733,0.6968,0.5347,0.8018,0.9985,34.1219
