epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.6361,1.4754,0.1715,0.0938,0.7450,0.9864,363.2885
2,1.3341,1.2076,0.5455,0.3751,0.8033,0.9971,53.2871
3,1.1243,1.0584,0.6511,0.4827,0.8730,0.9977,40.4605
4,0.9980,1.5330,0.0278,0.0141,0.8767,0.8154,295.9355
5,0.8543,1.2418,0.6032,0.4318,0.9062,0.9970,63.2102
6,0.7131,1.0651,0.6761,0.5107,0.9102,0.9978,130.5839
7,0.5961,0.8618,0.7338,0.5796,0.8986,0.9984,68.3333
8,0.5268,0.6573,0.7582,0.6105,0.8671,0.9987,24.6151
9,0.4966,0.5333,0.7612,0.6144,0.8696,0.9987,23.3681
10,0.4808,0.4916,0.7656,0.6203,0.8719,0.9987,21.5844
11,0.4724,0.4954,0.7600,0.6130,0.8805,0.9986,23.4365
12,0.4645,0.4847,0.7689,0.6246,0.8745,0.9987,21.5274
13,0.4567,0.4854,0.7740,0.6313,0.8748,0.9988,19.9186
14,0.4505,0.4932,0.7653,0.6198,0.8536,0.9988,20.1260
15,0.4459,0.4948,0.7634,0.6174,0.8552,0.9988,19.7010
16,0.4388,0.4982,0.7583,0.6107,0.8490,0.9987,20.2550
17,0.4327,0.4906,0.7613,0.6146,0.8707,0.9987,21.3511
18,0.4280,0.4948,0.7591,0.6117,0.8593,0.9987,20.9928
19,0.4233,0.4969,0.7613,0.6146,0.8546,0.9987,20.2434
20,0.4185,0.5007,0.7537,0.6048,0.8502,0.9987,21.1217
21,0.4136,0.5054,0.7502,0.6002,0.8438,0.9987,21.0799
22,0.4085,0.4987,0.7546,0.6059,0.8489,0.9987,20.7731
23,0.4046,0.5027,0.7520,0.6026,0.8438,0.9987,20.6286
