epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.3125,1.2011,0.6405,0.4711,0.8651,0.9976,42.4715,0.00002667,1.287078
2,1.1196,1.0230,0.5910,0.4194,0.9052,0.9968,33.8359,0.00005333,0.639407
3,0.9315,0.8956,0.6435,0.4744,0.8603,0.9977,37.9441,0.00008000,inf
4,0.6852,0.6397,0.6816,0.5169,0.8522,0.9981,29.2411,0.00007987,0.953965
5,0.4633,0.5068,0.7034,0.5424,0.8461,0.9983,34.6769,0.00007949,inf
6,0.3522,0.4491,0.7168,0.5586,0.8478,0.9984,27.8130,0.00007887,inf
7,0.3079,0.4632,0.7115,0.5522,0.8250,0.9985,26.9884,0.00007799,1.237812
8,0.2836,0.4712,0.7113,0.5519,0.8193,0.9985,27.3086,0.00007688,inf
9,0.2659,0.4425,0.7217,0.5646,0.8410,0.9985,27.8209,0.00007553,1.258282
10,0.2559,0.4520,0.7196,0.5620,0.8252,0.9985,27.1021,0.00007396,inf
11,0.2456,0.4630,0.7117,0.5524,0.8119,0.9985,27.1746,0.00007217,inf
12,0.2380,0.4513,0.7168,0.5586,0.8138,0.9986,25.9776,0.00007018,1.246938
13,0.2324,0.4486,0.7230,0.5661,0.8262,0.9986,25.9836,0.00006800,1.238896
14,0.2265,0.4522,0.7195,0.5618,0.8216,0.9986,24.8834,0.00006564,1.193486
15,0.2222,0.4489,0.7225,0.5656,0.8329,0.9985,26.4166,0.00006312,1.117240
16,0.2177,0.4900,0.6991,0.5374,0.7967,0.9985,29.8301,0.00006046,inf
17,0.2136,0.4617,0.7108,0.5513,0.8099,0.9985,27.6111,0.00005766,1.025526
18,0.2080,0.4573,0.7165,0.5582,0.8172,0.9986,24.9112,0.00005475,1.051528
19,0.2028,0.4655,0.7187,0.5609,0.8199,0.9986,27.0470,0.00005175,inf
20,0.2007,0.4566,0.7177,0.5597,0.8218,0.9985,27.3350,0.00004868,1.045966
21,0.1976,0.4477,0.7258,0.5696,0.8270,0.9986,26.3280,0.00004555,0.969781
22,0.1944,0.4585,0.7202,0.5627,0.8186,0.9986,25.9002,0.00004238,inf
23,0.1919,0.4666,0.7149,0.5563,0.8126,0.9986,26.4040,0.00003920,0.972722
24,0.1893,0.4551,0.7223,0.5653,0.8258,0.9986,24.9460,0.00003603,1.000366
25,0.1874,0.4617,0.7239,0.5673,0.8218,0.9986,26.0531,0.00003288,0.956047
26,0.1856,0.4553,0.7248,0.5683,0.8252,0.9986,25.9678,0.00002977,inf
27,0.1837,0.4534,0.7273,0.5714,0.8277,0.9986,25.4234,0.00002673,0.877793
28,0.1816,0.4570,0.7254,0.5692,0.8236,0.9986,25.2266,0.00002378,0.890316
29,0.1804,0.4552,0.7256,0.5694,0.8261,0.9986,24.8037,0.00002092,inf
30,0.1787,0.4565,0.7258,0.5696,0.8265,0.9986,24.9367,0.00001819,0.899231
31,0.1774,0.4633,0.7236,0.5669,0.8229,0.9986,26.5282,0.00001560,inf
32,0.1751,0.4644,0.7248,0.5683,0.8234,0.9986,25.9943,0.00001316,0.872035
33,0.1748,0.4650,0.7259,0.5697,0.8233,0.9986,26.0121,0.00001088,0.903531
34,0.1732,0.4550,0.7284,0.5728,0.8286,0.9986,25.0807,0.00000880,0.904292
35,0.1728,0.4657,0.7226,0.5657,0.8200,0.9986,25.9291,0.00000691,inf
36,0.1726,0.4617,0.7265,0.5705,0.8243,0.9986,25.7460,0.00000523,0.937295
37,0.1718,0.4623,0.7257,0.5695,0.8231,0.9986,25.6953,0.00000377,0.884218
38,0.1710,0.4609,0.7274,0.5715,0.8248,0.9986,25.5337,0.00000253,inf
39,0.1702,0.4617,0.7266,0.5706,0.8243,0.9986,25.6270,0.00000154,0.967612
40,0.1710,0.4619,0.7267,0.5707,0.8241,0.9986,25.6604,0.00000100,0.863050
41,0.1691,0.4616,0.7267,0.5707,0.8246,0.9986,25.5264,0.00000100,inf
42,0.1700,0.4625,0.7264,0.5704,0.8242,0.9986,25.7096,0.00000100,0.896385
43,0.1706,0.4608,0.7274,0.5715,0.8247,0.9986,25.6618,0.00000100,0.838337
44,0.1692,0.4597,0.7278,0.5720,0.8265,0.9986,25.5400,0.00000100,0.864032
