epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.5401,0.7857,0.7190,0.5613,0.8873,0.9983,32.5963
2,0.7974,0.7640,0.7270,0.5711,0.8561,0.9985,28.3260
3,0.7713,0.7367,0.7470,0.5962,0.8659,0.9986,25.1576
4,0.7485,0.7474,0.7461,0.5950,0.8542,0.9986,25.0624
5,0.7332,0.7243,0.7476,0.5970,0.8633,0.9986,23.8623
6,0.7176,0.7186,0.7492,0.5990,0.8605,0.9986,23.6974
7,0.7064,0.7243,0.6434,0.4743,0.8673,0.9977,24.9233
8,0.6953,0.7424,0.7308,0.5758,0.8475,0.9986,23.8336
9,0.6793,0.7452,0.7321,0.5774,0.8328,0.9986,24.6145
10,0.6674,0.7601,0.7337,0.5794,0.8268,0.9987,25.0783
11,0.6533,0.7514,0.7135,0.5545,0.8456,0.9984,23.1256
12,0.6419,0.7432,0.7371,0.5836,0.8512,0.9986,23.3558
13,0.6301,0.7637,0.7162,0.5579,0.8221,0.9986,22.2780
14,0.6188,0.7400,0.7294,0.5740,0.8473,0.9985,22.1970
15,0.6057,0.7549,0.7357,0.5819,0.8444,0.9986,23.3422
