epoch,train_loss,val_loss,val_dice,val_iou
1,1.3832,0.6956,0.5959,0.4244
2,0.8532,0.5436,0.6060,0.4347
3,0.7278,0.5426,0.6364,0.4667
4,0.6711,0.5142,0.6599,0.4924
5,0.6386,0.5327,0.6790,0.5141
6,0.6130,0.5245,0.6920,0.5290
7,0.5997,0.5268,0.6740,0.5083
8,0.5824,0.5221,0.6832,0.5188
9,0.5688,0.5802,0.6698,0.5036
10,0.5604,0.5579,0.6890,0.5256
11,0.5541,0.5553,0.6759,0.5105
12,0.5491,0.5667,0.6759,0.5105
13,0.5441,0.5922,0.6706,0.5044
14,0.5359,0.5560,0.6734,0.5076
15,0.5336,0.5977,0.6882,0.5246
16,0.5296,0.5518,0.6986,0.5368
17,0.5257,0.5918,0.6886,0.5251
18,0.5222,0.5582,0.6899,0.5266
19,0.5184,0.6323,0.6759,0.5105
20,0.5183,0.5877,0.6872,0.5235
21,0.5141,0.5749,0.6974,0.5354
22,0.5119,0.5907,0.6798,0.5149
23,0.5081,0.5796,0.6815,0.5169
24,0.5106,0.6115,0.6713,0.5053
25,0.5046,0.6002,0.6729,0.5071
26,0.5035,0.5589,0.6885,0.5249
27,0.5007,0.5842,0.6854,0.5214
28,0.5000,0.6177,0.6801,0.5153
29,0.4969,0.5964,0.6851,0.5210
30,0.4959,0.5927,0.6879,0.5243
31,0.4937,0.6015,0.6819,0.5174
32,0.4932,0.6116,0.6809,0.5162
33,0.4923,0.6050,0.6807,0.5159
34,0.4888,0.6184,0.6756,0.5101
35,0.4870,0.6297,0.6776,0.5124
36,0.4879,0.6306,0.6779,0.5127
