epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.2620,1.1674,0.5593,0.3882,0.9520,0.9960,32.8957,0.00002667,0.981856
2,1.0810,0.9677,0.6442,0.4751,0.9245,0.9974,29.5940,0.00005333,0.673873
3,0.8484,0.7055,0.6695,0.5032,0.9239,0.9976,38.8588,0.00007995,1.114274
4,0.5521,0.4573,0.7394,0.5866,0.8930,0.9984,21.0040,0.00007987,1.326404
5,0.4116,0.3891,0.7666,0.6215,0.8840,0.9987,20.3791,0.00007948,1.290051
6,0.3759,0.3737,0.7635,0.6174,0.8947,0.9986,19.8708,0.00007884,1.268525
7,0.3634,0.3722,0.7730,0.6300,0.8741,0.9988,19.6223,0.00007795,1.353819
8,0.3503,0.3743,0.7642,0.6184,0.8673,0.9987,18.9735,0.00007680,1.350434
9,0.3445,0.3651,0.7687,0.6243,0.8771,0.9987,20.4624,0.00007542,1.351002
10,0.3355,0.3809,0.7449,0.5934,0.8515,0.9986,19.7842,0.00007382,1.372509
11,0.3282,0.3865,0.7555,0.6071,0.8539,0.9987,18.7792,0.00007199,1.349682
12,0.3223,0.3708,0.7720,0.6287,0.8619,0.9988,18.5256,0.00006995,1.427523
13,0.3133,0.3691,0.7545,0.6058,0.8562,0.9987,18.9043,0.00006772,1.437143
14,0.3074,0.3799,0.7563,0.6080,0.8513,0.9987,19.5873,0.00006531,1.446377
15,0.3023,0.3866,0.7563,0.6081,0.8525,0.9987,18.3446,0.00006274,1.482918
