epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,2.7597,2.0810,0.0099,0.0050,0.6169,0.7032,329.1234
2,1.7633,1.5470,0.1431,0.0771,0.7903,0.9798,317.1408
3,1.4944,1.4705,0.7041,0.5433,0.8550,0.9983,23.4696
4,1.4000,1.3948,0.7431,0.5912,0.8915,0.9985,21.9784
5,1.3610,1.4058,0.7418,0.5895,0.8516,0.9986,18.4054
6,1.3355,1.3784,0.7664,0.6212,0.8731,0.9987,19.6201
7,1.3060,1.3891,0.7364,0.5828,0.8553,0.9986,20.5534
8,1.2810,1.3871,0.6998,0.5383,0.8447,0.9983,20.9549
9,1.2570,1.4086,0.7436,0.5919,0.8493,0.9986,19.8900
10,1.2361,1.3682,0.7524,0.6031,0.8394,0.9987,21.4551
11,1.2137,1.3872,0.7367,0.5831,0.8360,0.9986,20.0346
12,1.1922,1.4058,0.7357,0.5819,0.8248,0.9987,19.5321
13,1.1710,1.3999,0.7376,0.5843,0.8304,0.9987,19.7410
14,1.1528,1.4009,0.7386,0.5855,0.8356,0.9987,19.3408
15,1.1398,1.3806,0.7536,0.6046,0.8479,0.9987,18.8436
16,1.1278,1.4056,0.7408,0.5883,0.8359,0.9987,20.1331
17,1.1126,1.3846,0.7459,0.5947,0.8410,0.9987,18.0263
18,1.1052,1.3748,0.7493,0.5991,0.8506,0.9987,18.1447
19,1.0931,1.3586,0.7583,0.6107,0.8588,0.9987,18.0171
20,1.0854,1.3638,0.7541,0.6052,0.8584,0.9987,18.2523
21,1.0782,1.3868,0.7468,0.5960,0.8428,0.9987,18.9870
