epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,6.9161,5.3378,0.5608,0.3897,0.8350,0.9970,181.9500
2,4.6072,3.8418,0.6642,0.4972,0.8223,0.9982,44.8011
3,3.4660,2.9699,0.7365,0.5829,0.8643,0.9985,21.2932
4,2.8373,2.7380,0.7676,0.6229,0.8794,0.9987,21.3388
5,2.6545,2.6851,0.7421,0.5899,0.8426,0.9987,21.8896
6,2.5747,2.6014,0.7710,0.6274,0.8692,0.9988,18.6490
7,2.5155,2.6982,0.7288,0.5733,0.8329,0.9986,20.4832
8,2.4558,2.6308,0.7549,0.6063,0.8552,0.9987,19.3461
9,2.4014,2.6900,0.7440,0.5924,0.8397,0.9987,18.8898
10,2.3517,2.6139,0.7455,0.5943,0.8757,0.9986,21.9299
11,2.3056,2.6454,0.7387,0.5857,0.8508,0.9986,21.2327
12,2.2490,2.6314,0.7516,0.6021,0.8582,0.9987,18.5175
13,2.2078,2.6652,0.7547,0.6060,0.8493,0.9987,18.8177
14,2.1641,2.6527,0.7445,0.5929,0.8385,0.9987,17.8763
15,2.1366,2.6799,0.7390,0.5861,0.8312,0.9987,19.5616
16,2.0967,2.7023,0.7404,0.5879,0.8291,0.9987,18.3461
17,2.0699,2.6284,0.7629,0.6167,0.8626,0.9987,18.9680
18,2.0472,2.6871,0.7430,0.5912,0.8318,0.9987,19.6579
19,2.0242,2.6656,0.7378,0.5845,0.8271,0.9987,17.6773
20,2.0032,2.6655,0.7487,0.5984,0.8333,0.9987,19.5301
21,1.9819,2.6297,0.7570,0.6090,0.8533,0.9987,18.8641
