epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.5676,0.9269,0.7170,0.5589,0.8760,0.9983,25.1719
2,0.7867,0.7601,0.7499,0.5999,0.8458,0.9987,23.9146
3,0.7391,0.7206,0.7496,0.5995,0.8687,0.9986,23.0041
4,0.7142,0.7021,0.7685,0.6241,0.8893,0.9987,19.3104
5,0.6972,0.6963,0.7828,0.6431,0.8943,0.9988,19.9656
6,0.6805,0.7009,0.7483,0.5978,0.8790,0.9986,19.8397
7,0.6667,0.7006,0.7692,0.6249,0.8989,0.9987,19.9630
8,0.6500,0.7308,0.7380,0.5848,0.8616,0.9986,21.7059
9,0.6336,0.7170,0.7512,0.6016,0.8659,0.9986,18.6506
10,0.6193,0.7200,0.7479,0.5973,0.8406,0.9987,18.7246
11,0.6035,0.7344,0.7533,0.6043,0.8404,0.9987,19.5816
12,0.5904,0.7190,0.7454,0.5942,0.8405,0.9987,19.0728
