epoch,train_loss,val_loss,val_dice,val_iou
1,1.2600,0.5413,0.7106,0.5511
2,0.7752,0.4632,0.7475,0.5968
3,0.6846,0.4984,0.7427,0.5907
4,0.6351,0.4437,0.7604,0.6134
5,0.6045,0.4803,0.7555,0.6070
6,0.5843,0.4587,0.7642,0.6184
7,0.5706,0.4775,0.7528,0.6036
8,0.5585,0.4941,0.7502,0.6003
9,0.5490,0.4766,0.7569,0.6089
10,0.5449,0.4931,0.7509,0.6011
11,0.5363,0.4797,0.7640,0.6181
12,0.5307,0.5008,0.7533,0.6042
13,0.5264,0.5048,0.7614,0.6147
14,0.5234,0.5307,0.7506,0.6008
15,0.5176,0.5181,0.7503,0.6003
16,0.5161,0.4906,0.7680,0.6233
17,0.5147,0.5230,0.7492,0.5990
18,0.5112,0.5083,0.7567,0.6086
19,0.5102,0.5176,0.7633,0.6172
20,0.5038,0.5175,0.7592,0.6119
21,0.5019,0.5350,0.7488,0.5985
22,0.5014,0.5177,0.7609,0.6141
23,0.4973,0.5135,0.7614,0.6147
24,0.4967,0.5531,0.7519,0.6024
25,0.4952,0.5235,0.7589,0.6114
26,0.4931,0.5614,0.7490,0.5988
27,0.4910,0.5235,0.7625,0.6162
28,0.4882,0.5275,0.7578,0.6101
29,0.4884,0.5235,0.7603,0.6133
30,0.4863,0.5354,0.7567,0.6086
31,0.4836,0.5244,0.7613,0.6147
32,0.4825,0.5204,0.7651,0.6196
33,0.4809,0.5508,0.7525,0.6032
34,0.4796,0.5204,0.7610,0.6142
35,0.4782,0.5323,0.7632,0.6170
36,0.4773,0.5502,0.7549,0.6063
