epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4457,1.3129,0.6596,0.4921,0.8962,0.9977,25.0218
2,1.1308,0.9402,0.5907,0.4191,0.9374,0.9966,31.7343
3,0.8017,0.6101,0.7083,0.5483,0.8615,0.9983,27.8562
4,0.4642,0.4001,0.7228,0.5659,0.8717,0.9984,22.0246
5,0.3683,0.3788,0.7508,0.6011,0.8671,0.9986,19.2737
6,0.3431,0.4999,0.7433,0.5915,0.8178,0.9988,20.7372
7,0.3279,0.3856,0.7915,0.6550,0.8777,0.9989,17.0545
8,0.3170,0.3712,0.7852,0.6463,0.8663,0.9989,16.6634
9,0.3062,0.3768,0.7713,0.6277,0.8478,0.9988,16.8506
10,0.2977,0.3657,0.7774,0.6359,0.8767,0.9988,16.5686
11,0.2900,0.3739,0.7683,0.6238,0.8577,0.9988,16.7221
12,0.2816,0.3735,0.7701,0.6262,0.8620,0.9988,16.5364
13,0.2745,0.3712,0.7699,0.6259,0.8678,0.9988,17.2570
14,0.2679,0.3735,0.7681,0.6235,0.8729,0.9987,17.0935
15,0.2628,0.3762,0.7682,0.6236,0.8717,0.9987,17.3072
