epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.3948,1.2707,0.4463,0.2873,0.9600,0.9935,45.8474,0.00002667,1.412104
2,1.1696,1.0752,0.6874,0.5236,0.8776,0.9981,30.9967,0.00005333,0.727616
3,0.9617,0.8099,0.6894,0.5261,0.9196,0.9979,35.6742,0.00008000,0.806041
4,0.6540,0.4928,0.7438,0.5921,0.8881,0.9985,20.6824,0.00007987,1.246871
5,0.4433,0.4016,0.7518,0.6023,0.8974,0.9985,24.5542,0.00007948,1.218591
6,0.3813,0.3810,0.7607,0.6138,0.8694,0.9987,19.5433,0.00007884,1.202252
7,0.3602,0.3777,0.7472,0.5964,0.8680,0.9986,21.1618,0.00007795,1.247928
8,0.3494,0.3876,0.7535,0.6046,0.8496,0.9987,19.6611,0.00007680,1.304726
9,0.3389,0.3673,0.7663,0.6212,0.8611,0.9988,17.2884,0.00007542,1.302144
10,0.3296,0.3844,0.7602,0.6131,0.8537,0.9987,17.9433,0.00007382,1.331336
11,0.3235,0.4204,0.7466,0.5956,0.8281,0.9987,22.8015,0.00007199,1.421619
12,0.3187,0.3851,0.7565,0.6084,0.8642,0.9987,18.6379,0.00006995,1.465669
13,0.3105,0.3906,0.7556,0.6072,0.8441,0.9987,19.6066,0.00006772,1.352604
14,0.3042,0.3856,0.7585,0.6109,0.8577,0.9987,18.6791,0.00006531,1.413821
15,0.2984,0.3769,0.7601,0.6130,0.8526,0.9987,18.4973,0.00006274,1.475364
16,0.2928,0.3750,0.7627,0.6164,0.8626,0.9987,18.6901,0.00006002,1.465314
17,0.2867,0.3820,0.7555,0.6071,0.8489,0.9987,17.9666,0.00005717,1.489339
18,0.2825,0.3763,0.7623,0.6159,0.8490,0.9988,17.1893,0.00005421,1.512083
19,0.2797,0.3961,0.7421,0.5899,0.8241,0.9987,18.3127,0.00005115,1.503699
20,0.2749,0.3823,0.7566,0.6085,0.8462,0.9987,18.2687,0.00004803,1.478379
21,0.2702,0.3888,0.7521,0.6027,0.8447,0.9987,18.5002,0.00004485,1.534796
22,0.2645,0.3847,0.7564,0.6082,0.8467,0.9987,18.3291,0.00004164,1.472081
23,0.2621,0.3843,0.7578,0.6100,0.8518,0.9987,17.9755,0.00003842,1.514705
24,0.2575,0.3978,0.7486,0.5982,0.8352,0.9987,18.7364,0.00003521,1.439270
