epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.3528,1.2286,0.5639,0.3926,0.9060,0.9964,45.7998,0.00002667,inf
2,1.1434,1.0577,0.5428,0.3725,0.9249,0.9959,41.5427,0.00005333,0.650995
3,0.9543,0.8459,0.6709,0.5048,0.8567,0.9980,30.4856,0.00008000,inf
4,0.6978,0.6343,0.6747,0.5091,0.8592,0.9980,32.7673,0.00007987,inf
5,0.4728,0.5067,0.6800,0.5152,0.8336,0.9982,29.9151,0.00007949,1.218751
6,0.3604,0.4731,0.7078,0.5477,0.8278,0.9984,28.8862,0.00007887,inf
7,0.3143,0.4614,0.7135,0.5546,0.8339,0.9985,27.6994,0.00007799,1.629718
8,0.2900,0.4584,0.7210,0.5638,0.8381,0.9985,28.3945,0.00007688,inf
9,0.2694,0.4545,0.7255,0.5693,0.8367,0.9985,26.8692,0.00007553,1.533269
10,0.2586,0.4634,0.7170,0.5588,0.8214,0.9985,27.0313,0.00007396,1.617655
11,0.2500,0.4704,0.7047,0.5441,0.8077,0.9985,26.9469,0.00007217,inf
12,0.2431,0.4698,0.7039,0.5431,0.7982,0.9986,25.7609,0.00007018,1.629997
13,0.2355,0.4597,0.7116,0.5524,0.8178,0.9985,25.2431,0.00006800,inf
14,0.2303,0.4688,0.7160,0.5577,0.8164,0.9986,26.5557,0.00006564,1.450631
15,0.2251,0.4653,0.7153,0.5568,0.8155,0.9986,25.9715,0.00006312,1.196790
16,0.2203,0.4697,0.7172,0.5591,0.8123,0.9986,26.1845,0.00006046,1.336105
17,0.2163,0.4539,0.7205,0.5632,0.8210,0.9986,26.3615,0.00005766,1.170570
18,0.2131,0.4642,0.7265,0.5705,0.8242,0.9986,26.3668,0.00005475,inf
