epoch,train_loss,val_loss,val_dice,val_iou
1,1.2840,0.5515,0.6815,0.5168
2,0.7754,0.4842,0.7298,0.5746
3,0.6822,0.4581,0.7557,0.6073
4,0.6366,0.4672,0.7578,0.6101
5,0.6056,0.4712,0.7580,0.6103
6,0.5859,0.4936,0.7616,0.6150
7,0.5706,0.4693,0.7666,0.6215
8,0.5596,0.5155,0.7556,0.6073
9,0.5510,0.4672,0.7661,0.6208
10,0.5447,0.4920,0.7528,0.6037
11,0.5376,0.4780,0.7686,0.6241
12,0.5306,0.4924,0.7617,0.6151
13,0.5307,0.5292,0.7523,0.6029
14,0.5246,0.5009,0.7638,0.6179
15,0.5220,0.4945,0.7614,0.6148
16,0.5160,0.5015,0.7639,0.6180
17,0.5156,0.5020,0.7624,0.6160
18,0.5111,0.5431,0.7570,0.6090
19,0.5083,0.5688,0.7491,0.5988
20,0.5065,0.5332,0.7625,0.6161
21,0.5040,0.5182,0.7629,0.6166
22,0.5022,0.5424,0.7523,0.6029
23,0.4997,0.5325,0.7584,0.6109
24,0.4967,0.5161,0.7641,0.6182
25,0.4956,0.5331,0.7562,0.6079
26,0.4932,0.5530,0.7426,0.5906
27,0.4931,0.5000,0.7679,0.6232
28,0.4896,0.5296,0.7580,0.6103
29,0.4880,0.5492,0.7533,0.6042
30,0.4860,0.5241,0.7574,0.6096
31,0.4862,0.5262,0.7609,0.6140
