epoch,train_loss,val_loss,val_dice,val_iou
1,0.9936,0.6056,0.6577,0.4900
2,0.4854,0.4167,0.7294,0.5741
3,0.3731,0.3994,0.7456,0.5944
4,0.3385,0.3939,0.7383,0.5851
5,0.3113,0.3858,0.7576,0.6097
6,0.2957,0.3974,0.7302,0.5750
7,0.2769,0.3862,0.7601,0.6130
8,0.2663,0.3839,0.7683,0.6237
9,0.2544,0.4012,0.7515,0.6019
10,0.2472,0.3937,0.7597,0.6126
11,0.2380,0.4006,0.7421,0.5900
12,0.2289,0.4314,0.7338,0.5795
13,0.2276,0.4076,0.7487,0.5983
14,0.2223,0.3985,0.7496,0.5995
15,0.2168,0.3874,0.7560,0.6077
16,0.2112,0.3829,0.7671,0.6222
17,0.2115,0.4006,0.7547,0.6060
