epoch,train_loss,val_loss,val_dice,val_iou
1,1.2609,0.5480,0.6841,0.5199
2,0.7787,0.4513,0.6905,0.5273
3,0.6794,0.4540,0.7601,0.6130
4,0.6281,0.4506,0.7508,0.6010
5,0.6021,0.4747,0.7665,0.6214
6,0.5827,0.4728,0.7677,0.6230
7,0.5656,0.4758,0.7593,0.6120
8,0.5557,0.5157,0.7431,0.5912
9,0.5465,0.4766,0.7675,0.6228
10,0.5419,0.4867,0.7610,0.6142
11,0.5348,0.4951,0.7658,0.6204
12,0.5319,0.5111,0.7574,0.6095
13,0.5250,0.4962,0.7269,0.5710
14,0.5211,0.4902,0.7721,0.6289
15,0.5175,0.5044,0.7654,0.6199
16,0.5158,0.5190,0.7613,0.6146
17,0.5116,0.5019,0.7581,0.6105
18,0.5091,0.5418,0.7556,0.6073
19,0.5045,0.5373,0.7490,0.5987
20,0.5033,0.5319,0.7566,0.6085
21,0.5001,0.5359,0.7582,0.6106
22,0.4991,0.5009,0.7686,0.6242
23,0.4972,0.4737,0.7721,0.6288
24,0.4946,0.5206,0.7632,0.6171
25,0.4922,0.5200,0.7640,0.6181
26,0.4913,0.5071,0.7677,0.6230
27,0.4882,0.5106,0.7647,0.6190
28,0.4877,0.5453,0.7627,0.6164
29,0.4870,0.5024,0.7724,0.6292
30,0.4839,0.4986,0.7756,0.6335
31,0.4830,0.5156,0.7672,0.6223
32,0.4814,0.5123,0.7699,0.6259
33,0.4796,0.5522,0.7623,0.6158
34,0.4785,0.5473,0.7592,0.6119
35,0.4764,0.5206,0.7716,0.6281
36,0.4759,0.5357,0.7690,0.6247
37,0.4745,0.5152,0.7714,0.6278
38,0.4726,0.5463,0.7672,0.6223
39,0.4722,0.5031,0.7815,0.6414
40,0.4709,0.5283,0.7720,0.6287
41,0.4690,0.5354,0.7642,0.6184
42,0.4683,0.5344,0.7720,0.6287
43,0.4669,0.5391,0.7720,0.6287
44,0.4656,0.5563,0.7681,0.6236
45,0.4647,0.5255,0.7750,0.6327
46,0.4637,0.5274,0.7714,0.6279
47,0.4638,0.5253,0.7742,0.6316
48,0.4608,0.5463,0.7691,0.6249
49,0.4614,0.5394,0.7735,0.6306
50,0.4596,0.5538,0.7651,0.6196
51,0.4586,0.5572,0.7651,0.6195
52,0.4580,0.5465,0.7741,0.6315
53,0.4570,0.5548,0.7717,0.6283
54,0.4563,0.5377,0.7739,0.6312
55,0.4553,0.5516,0.7706,0.6268
56,0.4547,0.5807,0.7658,0.6205
57,0.4538,0.5643,0.7694,0.6252
58,0.4535,0.5333,0.7751,0.6328
59,0.4524,0.5567,0.7683,0.6238
