epoch,train_loss,val_loss,val_dice,val_iou
1,1.4925,0.6060,0.7036,0.5427
2,0.4608,0.4121,0.7404,0.5878
3,0.3565,0.4420,0.7063,0.5459
4,0.3244,0.4070,0.7401,0.5875
5,0.3041,0.4047,0.7466,0.5956
6,0.2869,0.3773,0.7694,0.6253
7,0.2723,0.3721,0.7726,0.6295
8,0.2574,0.3952,0.7501,0.6002
9,0.2427,0.3842,0.7682,0.6237
10,0.2283,0.4086,0.7373,0.5839
11,0.2177,0.3901,0.7639,0.6180
12,0.2083,0.4022,0.7431,0.5912
13,0.1990,0.3939,0.7604,0.6135
14,0.1906,0.4031,0.7481,0.5976
15,0.1841,0.4117,0.7478,0.5973
16,0.1750,0.4093,0.7424,0.5904
17,0.1696,0.4115,0.7404,0.5878
18,0.1639,0.3947,0.7596,0.6123
19,0.1574,0.3894,0.7648,0.6192
20,0.1524,0.4173,0.7334,0.5791
21,0.1500,0.4114,0.7454,0.5941
