epoch,train_loss,val_loss,val_dice,val_iou
1,1.2759,0.5344,0.6593,0.4917
2,0.4936,0.3999,0.7491,0.5988
3,0.3715,0.3962,0.7382,0.5851
4,0.3357,0.4064,0.7310,0.5761
5,0.3097,0.4060,0.7299,0.5746
6,0.2855,0.3990,0.7489,0.5986
7,0.2716,0.3880,0.7622,0.6157
8,0.2560,0.3805,0.7659,0.6207
9,0.2474,0.3941,0.7492,0.5990
10,0.2346,0.3981,0.7502,0.6003
11,0.2303,0.4037,0.7498,0.5997
12,0.2217,0.4047,0.7498,0.5998
13,0.2173,0.3917,0.7652,0.6197
14,0.2118,0.4032,0.7556,0.6072
15,0.2071,0.3858,0.7611,0.6144
16,0.2044,0.4012,0.7581,0.6104
17,0.2016,0.4088,0.7512,0.6015
18,0.1976,0.3930,0.7613,0.6146
19,0.1963,0.4052,0.7520,0.6026
20,0.1931,0.4089,0.7451,0.5938
21,0.1891,0.4055,0.7419,0.5896
22,0.1894,0.4040,0.7493,0.5991
23,0.1863,0.4011,0.7480,0.5975
24,0.1836,0.3991,0.7444,0.5929
25,0.1849,0.4006,0.7544,0.6057
