epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.5718,1.4736,0.7228,0.5659,0.9214,0.9863,52.3611
2,1.3925,1.3658,0.7733,0.6304,0.9528,0.9887,48.6247
3,1.2739,1.2724,0.8053,0.6741,0.9325,0.9912,41.1501
4,1.1803,1.0966,0.7791,0.6382,0.9224,0.9899,45.3736
5,1.0648,1.0038,0.7875,0.6495,0.9027,0.9908,55.1571
6,0.9741,1.5322,0.3818,0.2359,0.6204,0.9836,80.1644
7,0.8931,1.4771,0.3868,0.2398,0.6223,0.9837,82.2266
8,0.8232,1.4793,0.7448,0.5934,0.8273,0.9906,51.4403
9,0.7675,1.2959,0.0024,0.0012,0.5006,0.9791,166.0029
10,0.7123,1.5084,0.4708,0.3079,0.6595,0.9849,66.2560
11,0.6613,1.3305,0.1738,0.0952,0.5477,0.9810,108.1111
12,0.6147,1.3098,0.1699,0.0928,0.5465,0.9809,105.1844
13,0.5518,1.1981,0.0198,0.0100,0.5050,0.9792,147.7445
14,0.5039,1.2088,0.1489,0.0804,0.5403,0.9807,107.5835
15,0.4525,1.1034,0.2282,0.1288,0.5647,0.9816,100.0711
16,0.4018,1.1436,0.1406,0.0756,0.5379,0.9806,109.8816
17,0.3631,1.1349,0.0994,0.0523,0.5262,0.9801,120.7640
18,0.3343,1.0774,0.0759,0.0394,0.5197,0.9798,125.9255
19,0.3062,1.0875,0.0353,0.0180,0.5090,0.9794,138.9698
20,0.2782,1.0510,0.1211,0.0645,0.5323,0.9804,112.3563
21,0.2542,1.0472,0.1499,0.0810,0.5406,0.9807,100.8155
22,0.2361,1.0285,0.1454,0.0784,0.5393,0.9806,101.5030
23,0.2247,1.0238,0.1171,0.0622,0.5311,0.9803,108.1110
