epoch,train_loss,val_loss,val_dice,val_iou
1,1.2442,0.5286,0.7291,0.5737
2,0.7696,0.4526,0.7653,0.6199
3,0.6727,0.4682,0.7361,0.5824
4,0.6265,0.4704,0.7571,0.6091
5,0.5973,0.4577,0.7647,0.6191
6,0.5782,0.4978,0.7509,0.6012
7,0.5635,0.4526,0.7581,0.6105
8,0.5519,0.4753,0.7613,0.6146
9,0.5457,0.5220,0.7532,0.6041
10,0.5396,0.4993,0.7623,0.6159
11,0.5319,0.4894,0.7638,0.6178
12,0.5276,0.5576,0.7418,0.5895
13,0.5208,0.5054,0.7598,0.6127
14,0.5186,0.4888,0.7682,0.6236
15,0.5142,0.4866,0.7701,0.6261
16,0.5107,0.5083,0.7642,0.6183
17,0.5082,0.5058,0.7687,0.6243
18,0.5050,0.4858,0.7686,0.6241
19,0.5023,0.5157,0.7620,0.6155
20,0.4996,0.5053,0.7646,0.6189
21,0.4976,0.5168,0.7600,0.6129
22,0.4955,0.4816,0.7768,0.6350
23,0.4943,0.5082,0.7666,0.6216
24,0.4903,0.5034,0.7677,0.6230
25,0.4907,0.4888,0.7679,0.6232
26,0.4891,0.5146,0.7652,0.6197
27,0.4847,0.5145,0.7646,0.6189
28,0.4845,0.5212,0.7630,0.6168
29,0.4825,0.5124,0.7650,0.6195
30,0.4820,0.5407,0.7608,0.6139
31,0.4805,0.5590,0.7547,0.6061
32,0.4779,0.5331,0.7627,0.6165
33,0.4768,0.5444,0.7616,0.6150
34,0.4754,0.5433,0.7532,0.6042
35,0.4745,0.5760,0.7500,0.6000
36,0.4720,0.5433,0.7579,0.6102
37,0.4715,0.5297,0.7565,0.6083
38,0.4713,0.5612,0.7518,0.6023
39,0.4690,0.5464,0.7540,0.6052
40,0.4674,0.5780,0.7532,0.6041
41,0.4668,0.6035,0.7476,0.5970
42,0.4656,0.5869,0.7510,0.6012
