epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.5287,1.3724,0.2525,0.1445,0.6999,0.9933,355.7962
2,1.2591,1.1731,0.4790,0.3150,0.8449,0.9958,54.0681
3,1.0739,1.0018,0.5282,0.3589,0.9340,0.9956,57.8690
4,0.9012,0.9935,0.6034,0.4320,0.8712,0.9972,37.0493
5,0.7135,0.8789,0.6570,0.4892,0.9072,0.9976,30.5949
6,0.5587,0.7140,0.7039,0.5431,0.9037,0.9981,29.7315
7,0.4550,0.5148,0.7299,0.5747,0.8640,0.9985,23.2773
8,0.4059,0.4553,0.7426,0.5906,0.8626,0.9986,22.8269
9,0.3813,0.4103,0.7492,0.5989,0.8628,0.9986,23.6669
10,0.3648,0.4063,0.7525,0.6033,0.8608,0.9987,21.3114
11,0.3535,0.4081,0.7457,0.5945,0.8444,0.9987,22.0064
12,0.3433,0.4072,0.7528,0.6036,0.8468,0.9987,21.0608
13,0.3348,0.3966,0.7598,0.6126,0.8590,0.9987,21.9040
14,0.3272,0.3962,0.7641,0.6183,0.8601,0.9987,20.7844
15,0.3199,0.4004,0.7626,0.6162,0.8511,0.9988,20.8462
16,0.3134,0.4010,0.7624,0.6160,0.8475,0.9988,20.7014
17,0.3077,0.4066,0.7570,0.6091,0.8432,0.9988,20.4368
18,0.3019,0.4041,0.7618,0.6153,0.8486,0.9988,20.3817
19,0.2977,0.4097,0.7536,0.6047,0.8367,0.9988,20.9699
20,0.2907,0.4068,0.7575,0.6097,0.8410,0.9988,20.4936
21,0.2871,0.4122,0.7533,0.6042,0.8372,0.9988,21.1147
22,0.2815,0.4090,0.7551,0.6065,0.8407,0.9988,20.9249
23,0.2770,0.4119,0.7531,0.6040,0.8375,0.9988,20.9770
