epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.3499,1.2237,0.5827,0.4112,0.8938,0.9968,38.2471,0.00002667,2.202765
2,1.1498,1.0736,0.6647,0.4978,0.9110,0.9977,27.4399,0.00005333,0.672569
3,0.9624,0.7838,0.7080,0.5480,0.8417,0.9984,26.6302,0.00008000,0.711165
4,0.6520,0.5391,0.7410,0.5885,0.8968,0.9984,22.2315,0.00007987,1.051737
5,0.4249,0.4301,0.7289,0.5734,0.8521,0.9985,26.5729,0.00007948,1.173974
6,0.3497,0.3907,0.7453,0.5940,0.8431,0.9987,19.8559,0.00007884,1.251818
7,0.3223,0.4024,0.7473,0.5966,0.8371,0.9987,20.1660,0.00007794,1.301651
8,0.3060,0.3894,0.7587,0.6112,0.8500,0.9987,19.0526,0.00007680,1.300689
9,0.2964,0.3897,0.7569,0.6089,0.8443,0.9988,20.1699,0.00007542,1.303464
10,0.2850,0.3919,0.7464,0.5954,0.8426,0.9987,19.8608,0.00007381,1.298515
11,0.2790,0.4021,0.7499,0.5998,0.8355,0.9987,19.1961,0.00007198,1.376499
12,0.2715,0.3986,0.7461,0.5950,0.8306,0.9987,19.1999,0.00006994,1.281885
13,0.2654,0.4271,0.7373,0.5839,0.8207,0.9987,22.4614,0.00006771,1.312882
14,0.2597,0.4044,0.7442,0.5926,0.8241,0.9987,18.7489,0.00006530,1.239559
15,0.2518,0.3937,0.7516,0.6021,0.8416,0.9987,20.4514,0.00006272,1.231347
16,0.2504,0.3916,0.7625,0.6162,0.8589,0.9987,19.5646,0.00006000,1.248450
17,0.2463,0.3922,0.7520,0.6025,0.8370,0.9987,19.6366,0.00005715,1.195286
18,0.2417,0.3896,0.7639,0.6180,0.8541,0.9988,19.5654,0.00005418,1.111870
19,0.2372,0.4000,0.7537,0.6047,0.8357,0.9988,20.1117,0.00005113,1.077112
20,0.2335,0.4053,0.7533,0.6043,0.8313,0.9988,20.2210,0.00004800,1.071968
21,0.2302,0.4019,0.7594,0.6121,0.8423,0.9988,20.3564,0.00004482,1.073376
22,0.2273,0.3918,0.7581,0.6105,0.8445,0.9988,18.7548,0.00004161,1.126710
