epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.3445,1.2128,0.5491,0.3785,0.8936,0.9963,44.3639,0.00002667,1.568839
2,1.1316,1.0290,0.6268,0.4565,0.8782,0.9974,31.8930,0.00005333,0.629539
3,0.9487,0.8953,0.6597,0.4922,0.8688,0.9978,33.2510,0.00008000,0.703893
4,0.7057,0.6639,0.6475,0.4788,0.8650,0.9977,31.5808,0.00007987,inf
5,0.4899,0.5083,0.6852,0.5211,0.8358,0.9982,30.0338,0.00007949,inf
6,0.3663,0.4620,0.7135,0.5546,0.8252,0.9985,25.3083,0.00007887,inf
7,0.3164,0.4507,0.7141,0.5554,0.8431,0.9984,30.4906,0.00007799,1.379337
8,0.2887,0.4534,0.7256,0.5694,0.8403,0.9985,26.6177,0.00007688,1.283212
9,0.2716,0.4654,0.7184,0.5605,0.8276,0.9985,24.0903,0.00007553,inf
10,0.2603,0.4779,0.7037,0.5428,0.8108,0.9985,26.9876,0.00007396,1.396918
11,0.2488,0.4679,0.7151,0.5566,0.8094,0.9986,25.3771,0.00007217,inf
12,0.2417,0.4474,0.7209,0.5636,0.8239,0.9986,24.6548,0.00007018,1.367763
13,0.2352,0.4591,0.7269,0.5709,0.8236,0.9986,25.8685,0.00006800,1.281048
14,0.2308,0.4510,0.7220,0.5650,0.8206,0.9986,24.8646,0.00006564,1.237500
15,0.2257,0.4583,0.7220,0.5650,0.8214,0.9986,23.7608,0.00006312,1.222155
16,0.2213,0.4688,0.7171,0.5590,0.8118,0.9986,24.8941,0.00006046,inf
17,0.2169,0.4615,0.7210,0.5638,0.8179,0.9986,24.6066,0.00005766,1.110833
18,0.2134,0.4644,0.7246,0.5681,0.8199,0.9986,24.7716,0.00005475,1.065186
19,0.2092,0.4594,0.7239,0.5673,0.8225,0.9986,23.8872,0.00005175,0.992450
20,0.2065,0.4687,0.7209,0.5636,0.8197,0.9986,25.7672,0.00004868,inf
21,0.2038,0.4604,0.7268,0.5708,0.8208,0.9986,24.9664,0.00004555,1.017047
22,0.1989,0.4609,0.7192,0.5616,0.8155,0.9986,24.2603,0.00004238,1.115052
23,0.1953,0.4639,0.7261,0.5699,0.8216,0.9986,24.5595,0.00003920,inf
