epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,6.1387,4.6745,0.6006,0.4292,0.8605,0.9973,202.3587
2,3.7869,3.1204,0.7074,0.5473,0.9247,0.9980,24.5194
3,2.8391,2.8176,0.7299,0.5747,0.8405,0.9986,20.8252
4,2.7035,2.6875,0.7558,0.6075,0.8890,0.9986,18.4700
5,2.6343,2.6118,0.7612,0.6145,0.8906,0.9986,19.2978
6,2.5864,2.6143,0.7627,0.6164,0.8894,0.9986,19.4829
7,2.5321,2.6369,0.7602,0.6132,0.8860,0.9986,19.1180
8,2.4812,2.6562,0.7502,0.6003,0.8515,0.9987,20.2606
9,2.4366,2.6201,0.7617,0.6152,0.8724,0.9987,18.9752
10,2.3952,2.6854,0.7571,0.6092,0.8517,0.9987,19.7858
11,2.3482,2.6511,0.7399,0.5872,0.8616,0.9986,19.3132
12,2.2971,2.6544,0.7522,0.6028,0.8555,0.9987,18.5160
13,2.2549,2.6117,0.7391,0.5862,0.8509,0.9986,18.8639
14,2.2086,2.6407,0.7535,0.6045,0.8553,0.9987,17.9918
15,2.1767,2.6304,0.7531,0.6040,0.8509,0.9987,18.5794
16,2.1454,2.6510,0.7454,0.5942,0.8472,0.9987,17.7412
17,2.1143,2.6439,0.7486,0.5982,0.8532,0.9987,18.5858
18,2.0974,2.6856,0.7457,0.5945,0.8468,0.9987,17.2264
19,2.0699,2.6377,0.7559,0.6076,0.8617,0.9987,18.6309
20,2.0524,2.6358,0.7537,0.6048,0.8432,0.9987,17.4388
21,2.0294,2.6698,0.7502,0.6002,0.8416,0.9987,17.8643
