epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,5.7284,3.9852,0.6398,0.4704,0.8633,0.9977,63.3472
2,3.1589,2.7658,0.7599,0.6127,0.8820,0.9986,20.3815
3,2.7202,2.7145,0.7513,0.6016,0.8735,0.9986,19.6363
4,2.6234,2.7099,0.7542,0.6053,0.8568,0.9987,19.7639
5,2.5754,2.6477,0.7644,0.6187,0.8855,0.9987,19.2093
6,2.5275,2.6130,0.7552,0.6067,0.8869,0.9986,22.7201
7,2.4825,2.6327,0.7601,0.6130,0.8512,0.9988,18.4337
8,2.4187,2.6368,0.7705,0.6266,0.8783,0.9987,18.6100
9,2.3812,2.6358,0.7571,0.6091,0.8602,0.9987,18.7397
10,2.3421,2.6693,0.7391,0.5862,0.8281,0.9987,20.2453
11,2.2991,2.6113,0.7600,0.6130,0.8618,0.9987,18.0362
12,2.2513,2.6538,0.7522,0.6028,0.8495,0.9987,19.5799
13,2.2029,2.6367,0.7548,0.6061,0.8554,0.9987,17.9276
14,2.1588,2.6552,0.7583,0.6107,0.8596,0.9987,18.7149
15,2.1205,2.7088,0.7432,0.5913,0.8275,0.9987,19.7606
16,2.0851,2.6791,0.7461,0.5951,0.8490,0.9987,18.3864
17,2.0552,2.6547,0.7602,0.6132,0.8518,0.9988,18.3018
18,2.0344,2.6546,0.7553,0.6069,0.8441,0.9987,17.8960
19,2.0107,2.6670,0.7554,0.6070,0.8464,0.9987,19.4376
20,1.9812,2.6621,0.7509,0.6011,0.8512,0.9987,17.9957
21,1.9638,2.7447,0.7412,0.5888,0.8318,0.9987,20.4579
22,1.9402,2.7056,0.7450,0.5936,0.8266,0.9987,19.1452
23,1.9282,2.6336,0.7588,0.6114,0.8465,0.9988,17.5370
