epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,0.6491,0.4670,0.6495,0.4809,0.8405,0.9979,33.5804
2,0.4450,0.4607,0.5746,0.4031,0.8424,0.9971,37.8133
3,0.4131,0.4299,0.6825,0.5180,0.8099,0.9984,31.2525
4,0.3907,0.3872,0.7294,0.5740,0.8630,0.9985,22.0587
5,0.3758,0.4059,0.7232,0.5664,0.8449,0.9985,24.8842
6,0.3645,0.4002,0.7303,0.5752,0.8406,0.9986,21.2072
7,0.3562,0.3852,0.7422,0.5901,0.8731,0.9985,23.0764
8,0.3479,0.3858,0.7406,0.5880,0.8702,0.9985,23.0965
9,0.3392,0.3971,0.7238,0.5671,0.8385,0.9985,22.7918
10,0.3300,0.3976,0.7389,0.5859,0.8341,0.9987,19.6815
11,0.3227,0.3999,0.7350,0.5811,0.8467,0.9986,22.5341
12,0.3138,0.4033,0.7377,0.5844,0.8323,0.9987,21.3542
