epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4185,1.2404,0.6295,0.4593,0.9192,0.9972,32.2127
2,1.1106,0.9264,0.6891,0.5257,0.9026,0.9980,29.0440
3,0.8280,0.6915,0.6894,0.5260,0.8540,0.9982,23.6803
4,0.5760,0.6829,0.7600,0.6129,0.8490,0.9988,26.2435
5,0.4101,0.5033,0.7515,0.6020,0.8541,0.9987,19.6313
6,0.3298,0.4337,0.7512,0.6015,0.8389,0.9987,18.7831
7,0.2929,0.4024,0.7513,0.6017,0.8372,0.9987,18.9500
8,0.2723,0.3911,0.7602,0.6132,0.8457,0.9988,18.3807
9,0.2574,0.3919,0.7562,0.6080,0.8406,0.9988,19.2793
10,0.2447,0.3888,0.7575,0.6096,0.8433,0.9988,18.1924
11,0.2368,0.3843,0.7606,0.6137,0.8459,0.9988,17.8035
12,0.2289,0.3826,0.7626,0.6163,0.8500,0.9988,17.8140
13,0.2228,0.3969,0.7556,0.6072,0.8368,0.9988,19.3694
14,0.2177,0.3935,0.7613,0.6145,0.8476,0.9988,19.5875
15,0.2128,0.4021,0.7527,0.6034,0.8362,0.9988,20.1607
16,0.2085,0.4034,0.7536,0.6046,0.8367,0.9988,20.0733
17,0.2045,0.3979,0.7592,0.6119,0.8437,0.9988,19.1255
18,0.2001,0.3925,0.7629,0.6167,0.8464,0.9988,19.0025
19,0.1964,0.3899,0.7653,0.6198,0.8499,0.9988,18.7834
20,0.1934,0.3964,0.7603,0.6133,0.8431,0.9988,19.3385
21,0.1908,0.3931,0.7602,0.6131,0.8462,0.9988,18.6946
22,0.1876,0.3915,0.7584,0.6109,0.8454,0.9988,18.5910
23,0.1849,0.3945,0.7569,0.6089,0.8430,0.9988,18.5891
24,0.1824,0.3990,0.7566,0.6085,0.8416,0.9988,19.2465
