epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.2621,1.1671,0.5568,0.3858,0.9545,0.9959,33.1754,0.00002667,0.980363
2,1.0811,1.0003,0.6913,0.5282,0.9194,0.9979,26.2302,0.00005333,0.675086
3,0.8437,0.6428,0.7212,0.5640,0.9047,0.9982,25.5102,0.00008000,0.937813
4,0.5386,0.4364,0.7266,0.5706,0.9032,0.9983,20.3802,0.00007987,1.275575
5,0.4050,0.3894,0.7465,0.5955,0.8736,0.9986,24.0451,0.00007948,1.257329
6,0.3715,0.3798,0.7560,0.6077,0.8799,0.9986,21.1989,0.00007884,1.226735
7,0.3558,0.3807,0.7460,0.5949,0.8512,0.9987,22.0262,0.00007794,1.303096
8,0.3442,0.3776,0.7441,0.5924,0.8631,0.9986,24.5299,0.00007680,1.282165
9,0.3366,0.3686,0.7582,0.6106,0.8699,0.9987,21.2326,0.00007542,1.294351
10,0.3269,0.3909,0.7382,0.5850,0.8482,0.9986,18.6467,0.00007382,1.399515
11,0.3212,0.3857,0.7479,0.5974,0.8428,0.9987,19.4266,0.00007199,1.592537
12,0.3114,0.3919,0.7494,0.5992,0.8442,0.9987,19.0350,0.00006995,1.404133
13,0.3046,0.3801,0.7552,0.6067,0.8469,0.9987,22.7425,0.00006772,1.390552
14,0.2958,0.3758,0.7597,0.6125,0.8474,0.9988,17.7544,0.00006532,1.382396
15,0.2904,0.3882,0.7538,0.6049,0.8517,0.9987,19.0415,0.00006274,1.456695
