epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,6.1533,4.8632,0.0945,0.0496,0.8398,0.9613,334.1347
2,4.2167,3.6661,0.6726,0.5067,0.8421,0.9981,94.1023
3,3.3992,3.2443,0.7174,0.5594,0.8327,0.9985,47.2613
4,2.8886,2.8133,0.7313,0.5764,0.8372,0.9986,20.9983
5,2.6304,2.7510,0.7484,0.5980,0.8392,0.9987,21.2671
6,2.5459,2.6472,0.7241,0.5675,0.8949,0.9983,27.4819
7,2.4925,2.6492,0.7608,0.6139,0.8605,0.9987,19.1686
8,2.4400,2.6528,0.7555,0.6070,0.8521,0.9987,20.0342
9,2.3943,2.6201,0.7562,0.6080,0.8853,0.9986,18.4019
10,2.3561,2.6194,0.7590,0.6116,0.8503,0.9987,18.7820
11,2.3052,2.6732,0.7471,0.5963,0.8391,0.9987,20.3855
12,2.2526,2.6585,0.7452,0.5939,0.8656,0.9986,18.7485
13,2.2155,2.6382,0.7587,0.6113,0.8590,0.9987,20.1030
14,2.1734,2.6282,0.7545,0.6058,0.8520,0.9987,17.3097
15,2.1386,2.6434,0.7520,0.6026,0.8501,0.9987,19.3127
16,2.1068,2.6706,0.7462,0.5952,0.8601,0.9986,18.0595
17,2.0850,2.6625,0.7492,0.5990,0.8432,0.9987,17.9381
18,2.0567,2.6777,0.7506,0.6008,0.8440,0.9987,18.9020
19,2.0313,2.7016,0.7410,0.5885,0.8308,0.9987,18.2761
20,2.0143,2.6236,0.7558,0.6074,0.8467,0.9987,18.2072
21,1.9971,2.6153,0.7597,0.6125,0.8501,0.9988,18.1037
22,1.9798,2.6656,0.7474,0.5967,0.8424,0.9987,17.9607
