epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4297,1.2892,0.6404,0.4710,0.9020,0.9975,34.3297
2,1.1498,1.0668,0.6429,0.4737,0.9194,0.9974,44.1419
3,0.8513,0.6444,0.6708,0.5046,0.8958,0.9978,36.7657
4,0.5015,0.4277,0.6574,0.4897,0.8513,0.9979,29.3699
5,0.3790,0.3772,0.7657,0.6203,0.8886,0.9987,20.9539
6,0.3553,0.4485,0.7674,0.6226,0.8486,0.9988,18.1810
7,0.3394,0.3897,0.7607,0.6138,0.8435,0.9988,17.5266
8,0.3296,0.3623,0.7827,0.6429,0.8723,0.9988,17.1865
9,0.3212,0.3688,0.7754,0.6331,0.8596,0.9988,17.0797
10,0.3106,0.3628,0.7799,0.6392,0.8709,0.9988,18.0091
11,0.3040,0.3666,0.7702,0.6263,0.8638,0.9988,19.0553
12,0.2951,0.3630,0.7741,0.6315,0.8700,0.9988,17.9229
13,0.2878,0.3747,0.7687,0.6243,0.8535,0.9988,17.7974
