epoch,train_loss,val_loss,val_dice,val_iou
1,1.3511,0.6712,0.5782,0.4067
2,0.8409,0.5098,0.6067,0.4354
3,0.7190,0.5356,0.6769,0.5116
4,0.6638,0.5509,0.6440,0.4750
5,0.6327,0.5311,0.6739,0.5082
6,0.6101,0.5401,0.6832,0.5188
7,0.5868,0.5085,0.6765,0.5112
8,0.5774,0.5613,0.6732,0.5074
9,0.5653,0.5640,0.6627,0.4956
10,0.5555,0.5631,0.6697,0.5034
11,0.5509,0.5524,0.6819,0.5173
12,0.5435,0.5613,0.6799,0.5151
13,0.5394,0.5460,0.6832,0.5189
14,0.5316,0.5474,0.6918,0.5288
15,0.5278,0.5596,0.6761,0.5107
16,0.5244,0.5524,0.6986,0.5368
17,0.5192,0.5819,0.6954,0.5330
18,0.5230,0.5704,0.6852,0.5212
19,0.5182,0.5670,0.6834,0.5190
20,0.5131,0.5359,0.6861,0.5222
21,0.5091,0.5784,0.6875,0.5238
22,0.5095,0.5631,0.6943,0.5317
23,0.5056,0.5839,0.6873,0.5236
24,0.5047,0.5857,0.6804,0.5156
25,0.5013,0.5939,0.6746,0.5089
26,0.4998,0.5994,0.6731,0.5072
27,0.4982,0.5713,0.6798,0.5149
28,0.4959,0.5951,0.6875,0.5238
29,0.4950,0.5914,0.6812,0.5165
30,0.4925,0.5873,0.6766,0.5113
31,0.4897,0.5888,0.6817,0.5171
