epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95,lr,grad_norm
1,1.4870,1.3482,0.5092,0.3415,0.8875,0.9957,45.7830,0.00002667,inf
2,1.2526,1.1663,0.6307,0.4606,0.8822,0.9974,38.1661,0.00005333,0.774354
3,1.0608,0.9442,0.6458,0.4769,0.8868,0.9975,33.1478,0.00008000,0.595520
4,0.8344,0.7784,0.6750,0.5095,0.8310,0.9982,30.8593,0.00007987,0.874276
5,0.6131,0.6185,0.6869,0.5231,0.8608,0.9981,32.5007,0.00007949,inf
6,0.4518,0.5094,0.6998,0.5382,0.8172,0.9984,26.5572,0.00007887,inf
7,0.3600,0.4716,0.7024,0.5413,0.8233,0.9984,26.6826,0.00007799,1.460615
8,0.3103,0.4517,0.7161,0.5578,0.8369,0.9985,25.9326,0.00007688,inf
9,0.2855,0.4485,0.7246,0.5682,0.8330,0.9985,24.9128,0.00007553,1.560836
10,0.2717,0.4446,0.7237,0.5670,0.8409,0.9985,24.4999,0.00007396,1.675982
11,0.2573,0.4471,0.7207,0.5634,0.8274,0.9985,24.3075,0.00007217,inf
12,0.2474,0.4623,0.7195,0.5619,0.8145,0.9986,25.9817,0.00007018,inf
13,0.2405,0.4469,0.7135,0.5546,0.8162,0.9985,25.4108,0.00006800,1.614995
14,0.2341,0.4517,0.7228,0.5660,0.8190,0.9986,24.6978,0.00006564,1.395825
15,0.2302,0.4656,0.7176,0.5596,0.8181,0.9986,25.7752,0.00006312,inf
16,0.2258,0.4526,0.7203,0.5628,0.8212,0.9986,24.1154,0.00006046,1.386428
17,0.2202,0.4590,0.7134,0.5544,0.8093,0.9986,24.8002,0.00005766,1.289937
18,0.2167,0.4514,0.7202,0.5628,0.8234,0.9986,24.4012,0.00005475,inf
19,0.2119,0.4609,0.7229,0.5660,0.8195,0.9986,25.9203,0.00005175,1.164154
