epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4377,0.9109,0.7326,0.5781,0.9018,0.9983,36.2002
2,0.7117,0.6718,0.7390,0.5860,0.8392,0.9987,20.8519
3,0.6481,0.6573,0.3574,0.2176,0.8973,0.9919,26.7319
4,0.6211,0.6993,0.7315,0.5767,0.8092,0.9987,22.0217
5,0.6078,0.6480,0.7615,0.6148,0.8380,0.9988,18.4520
6,0.5906,0.6289,0.7744,0.6319,0.8586,0.9988,16.3219
7,0.5745,0.6320,0.7681,0.6235,0.8508,0.9988,16.7015
8,0.5609,0.6214,0.7826,0.6429,0.8753,0.9988,16.1706
9,0.5461,0.6198,0.7791,0.6381,0.8700,0.9988,15.9079
10,0.5330,0.6219,0.7749,0.6325,0.8681,0.9988,15.6088
11,0.5218,0.6302,0.7715,0.6280,0.8551,0.9988,16.1204
12,0.5128,0.6259,0.7695,0.6253,0.8617,0.9988,15.7619
