epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4303,1.3057,0.6456,0.4767,0.8934,0.9976,27.9813
2,1.1417,0.9626,0.6487,0.4801,0.8826,0.9977,38.7538
3,0.8391,0.6648,0.6654,0.4986,0.8804,0.9978,31.4021
4,0.5346,0.4412,0.7336,0.5793,0.8748,0.9985,21.8807
5,0.3966,0.3831,0.7618,0.6152,0.8785,0.9987,19.9856
6,0.3581,0.5831,0.6877,0.5240,0.7738,0.9986,27.1933
7,0.3394,0.4127,0.7793,0.6383,0.8661,0.9988,18.0182
8,0.3257,0.3741,0.7799,0.6392,0.8648,0.9988,17.0952
9,0.3158,0.3705,0.7745,0.6320,0.8600,0.9988,17.3694
10,0.3061,0.3694,0.7689,0.6246,0.8580,0.9988,17.1823
11,0.2975,0.3740,0.7641,0.6183,0.8501,0.9988,17.1532
12,0.2888,0.3734,0.7691,0.6248,0.8541,0.9988,16.8422
13,0.2828,0.3763,0.7644,0.6186,0.8538,0.9988,17.3014
14,0.2736,0.3739,0.7677,0.6230,0.8608,0.9988,17.4158
15,0.2675,0.3857,0.7611,0.6143,0.8468,0.9988,18.0692
