epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.0800,0.5394,0.6772,0.5119,0.8851,0.9979,25.8850
2,0.4623,0.4262,0.7504,0.6006,0.8402,0.9987,21.4190
3,0.3729,0.4012,0.7521,0.6027,0.8609,0.9987,22.2817
4,0.3382,0.4211,0.7182,0.5603,0.8141,0.9986,22.0782
5,0.3146,0.3993,0.7438,0.5921,0.8466,0.9987,20.1902
6,0.2966,0.3966,0.7436,0.5918,0.8431,0.9987,19.9069
7,0.2820,0.4013,0.7395,0.5867,0.8419,0.9986,18.9705
8,0.2699,0.3811,0.7505,0.6006,0.8454,0.9987,19.6231
9,0.2595,0.4044,0.7459,0.5947,0.8385,0.9987,20.2118
10,0.2498,0.4070,0.7420,0.5898,0.8334,0.9987,20.7678
11,0.2443,0.3981,0.7477,0.5971,0.8507,0.9987,20.7763
12,0.2378,0.4154,0.7372,0.5838,0.8311,0.9987,22.7078
13,0.2316,0.3881,0.7595,0.6123,0.8568,0.9987,21.1128
14,0.2278,0.3931,0.7580,0.6103,0.8462,0.9988,20.2794
15,0.2237,0.3973,0.7456,0.5944,0.8329,0.9987,20.8235
16,0.2199,0.3892,0.7630,0.6168,0.8535,0.9988,18.7366
17,0.2160,0.3920,0.7541,0.6052,0.8517,0.9987,21.3446
18,0.2134,0.3975,0.7495,0.5993,0.8386,0.9987,20.8820
