rank,sample_id,group,teacher_dice,student_dice,dice_gap,teacher_iou,student_iou,teacher_acc,student_acc,teacher_hd95,student_hd95,hd95_gap
3708,580,easy,0.9100,0.9227,-0.0126,0.8349,0.8564,0.9846,0.9805,1.41,1.41,0.00
3709,1681,easy,0.8864,0.8991,-0.0126,0.7961,0.8167,0.9352,0.9406,1.82,1.77,-0.06
3710,863,easy,0.9303,0.9430,-0.0126,0.8698,0.8921,0.9913,0.9841,2.27,2.59,0.33
3711,3537,easy,0.9131,0.9258,-0.0127,0.8401,0.8618,0.9784,0.9690,3.00,2.85,-0.15
3712,3756,easy,0.0682,0.0809,-0.0127,0.0353,0.0422,0.6470,0.6549,18.25,21.18,2.93
3713,1702,easy,0.8166,0.8294,-0.0127,0.6901,0.7085,0.9694,0.9542,2.00,1.41,-0.59
3714,4035,easy,0.6447,0.6575,-0.0128,0.4757,0.4898,0.9803,0.9705,2.21,2.01,-0.20
3715,1799,easy,0.8786,0.8914,-0.0128,0.7835,0.8041,0.8918,0.9021,2.00,2.00,0.00
3716,3376,easy,0.7230,0.7358,-0.0128,0.5662,0.5821,0.9108,0.9161,6.00,5.00,-1.00
3717,1377,easy,0.9157,0.9286,-0.0129,0.8445,0.8667,0.9799,0.9698,1.00,1.00,0.00
3718,3618,easy,0.7871,0.8000,-0.0129,0.6490,0.6667,0.8749,0.8820,2.24,2.24,0.00
3719,2114,easy,0.8825,0.8954,-0.0129,0.7897,0.8106,0.9875,0.9753,2.93,2.83,-0.10
3720,3097,easy,0.5279,0.5409,-0.0129,0.3586,0.3707,0.8784,0.8426,8.01,10.44,2.43
3721,4115,easy,0.0039,0.0169,-0.0130,0.0020,0.0085,0.5057,0.5142,34.41,25.70,-8.71
3722,1052,easy,0.9153,0.9283,-0.0130,0.8438,0.8662,0.9471,0.9485,3.68,2.83,-0.86
3723,1674,easy,0.8443,0.8573,-0.0130,0.7306,0.7503,0.9875,0.9771,2.24,2.24,0.00
3724,750,easy,0.6650,0.6781,-0.0130,0.4981,0.5129,0.9712,0.9554,14.49,12.64,-1.86
