epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4129,1.2507,0.6587,0.4911,0.9227,0.9975,99.1629
2,1.1182,0.9030,0.6265,0.4562,0.9248,0.9971,38.1353
3,0.8168,0.6107,0.7265,0.5704,0.8589,0.9985,29.1967
4,0.4762,0.4068,0.7302,0.5751,0.8750,0.9984,21.8901
5,0.3696,0.3874,0.7508,0.6011,0.8735,0.9986,20.7175
6,0.3423,0.5118,0.7601,0.6131,0.8356,0.9988,20.0323
7,0.3259,0.3786,0.7713,0.6277,0.8537,0.9988,17.3449
8,0.3109,0.3745,0.7772,0.6356,0.8626,0.9988,17.0385
9,0.3009,0.3760,0.7641,0.6183,0.8508,0.9988,17.4258
10,0.2904,0.3767,0.7659,0.6206,0.8556,0.9988,17.5129
11,0.2814,0.3823,0.7619,0.6154,0.8546,0.9988,17.8556
12,0.2722,0.3838,0.7585,0.6110,0.8556,0.9987,18.0629
