epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.2651,1.1902,0.2546,0.1459,0.7104,0.9930,356.3883
2,1.1408,1.1452,0.2945,0.1727,0.8566,0.9903,133.4488
3,1.0580,1.0386,0.6459,0.4770,0.8634,0.9978,38.9897
4,0.9996,1.0702,0.5977,0.4262,0.8636,0.9972,38.8853
5,0.9573,1.0169,0.7069,0.5466,0.8645,0.9983,33.1395
6,0.9366,1.0010,0.7329,0.5784,0.8538,0.9985,27.7776
7,0.9257,0.9944,0.7505,0.6006,0.8667,0.9986,25.7204
8,0.9196,0.9918,0.7513,0.6016,0.8520,0.9987,25.9761
9,0.8665,0.9912,0.7641,0.6183,0.8821,0.9987,24.8401
10,0.7484,0.7823,0.7435,0.5917,0.8338,0.9987,30.3118
11,0.6173,0.6188,0.7556,0.6072,0.8426,0.9988,28.7976
12,0.4884,0.4651,0.7315,0.5766,0.8175,0.9987,33.6914
13,0.3967,0.4519,0.7619,0.6154,0.8514,0.9988,29.3322
14,0.2961,0.3102,0.7519,0.6024,0.8357,0.9988,29.9757
15,0.1436,0.2559,0.7643,0.6185,0.8589,0.9988,27.1136
16,0.0970,0.0400,0.7508,0.6011,0.8348,0.9987,28.4596
