epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.4340,1.3065,0.6259,0.4555,0.8931,0.9973,29.8291
2,1.1485,0.9491,0.6700,0.5037,0.9208,0.9977,32.4701
3,0.8326,0.6056,0.7355,0.5816,0.8961,0.9984,26.3208
4,0.4880,0.4042,0.7142,0.5555,0.8669,0.9983,23.0058
5,0.3759,0.3778,0.7331,0.5786,0.8953,0.9984,19.8736
6,0.3495,0.4040,0.7850,0.6461,0.8755,0.9988,17.1621
7,0.3338,0.3707,0.7884,0.6507,0.8795,0.9989,16.7843
8,0.3222,0.3628,0.7875,0.6495,0.8753,0.9989,16.2425
9,0.3132,0.3573,0.7893,0.6519,0.8872,0.9988,17.0242
10,0.3049,0.3707,0.7785,0.6373,0.8660,0.9988,17.1599
11,0.2963,0.3667,0.7794,0.6385,0.8792,0.9988,16.4333
12,0.2885,0.3682,0.7769,0.6352,0.8803,0.9988,17.2664
13,0.2808,0.3731,0.7711,0.6274,0.8763,0.9987,17.4970
