epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.5427,1.3865,0.2146,0.1202,0.7185,0.9908,356.3075
2,1.2873,1.4043,0.1615,0.0879,0.8741,0.9775,161.5874
3,1.1015,1.0147,0.5495,0.3789,0.9098,0.9962,48.5256
4,0.8993,1.0238,0.5963,0.4248,0.8498,0.9973,37.7307
5,0.6725,0.9490,0.6190,0.4482,0.9235,0.9971,37.7035
6,0.5009,0.6082,0.7120,0.5528,0.8776,0.9983,28.3386
7,0.4227,0.4750,0.7300,0.5748,0.8485,0.9985,22.6727
8,0.3922,0.4296,0.7387,0.5857,0.8478,0.9986,22.7243
9,0.3761,0.3993,0.7508,0.6010,0.8677,0.9986,22.0220
10,0.3641,0.3997,0.7419,0.5898,0.8460,0.9986,21.7418
11,0.3539,0.3966,0.7533,0.6043,0.8535,0.9987,21.7626
12,0.3446,0.3939,0.7504,0.6005,0.8574,0.9987,22.2133
13,0.3368,0.3945,0.7488,0.5984,0.8565,0.9987,23.6612
14,0.3318,0.3960,0.7583,0.6107,0.8544,0.9987,21.5376
15,0.3238,0.3967,0.7552,0.6066,0.8531,0.9987,22.3338
16,0.3192,0.4077,0.7480,0.5974,0.8362,0.9987,21.8989
17,0.3121,0.4072,0.7468,0.5959,0.8342,0.9987,22.1423
18,0.3076,0.4008,0.7567,0.6086,0.8491,0.9987,21.8061
19,0.3028,0.4063,0.7483,0.5978,0.8372,0.9987,21.9075
20,0.2965,0.4098,0.7477,0.5970,0.8391,0.9987,21.3093
21,0.2923,0.4059,0.7488,0.5985,0.8373,0.9987,21.7470
22,0.2872,0.4073,0.7505,0.6006,0.8399,0.9987,21.5453
23,0.2832,0.4082,0.7470,0.5962,0.8326,0.9987,21.4673
24,0.2791,0.4121,0.7441,0.5924,0.8293,0.9987,21.5785
25,0.2754,0.4164,0.7396,0.5868,0.8257,0.9987,21.6506
26,0.2720,0.4081,0.7473,0.5966,0.8378,0.9987,21.3197
27,0.2687,0.4098,0.7431,0.5912,0.8308,0.9987,21.5531
28,0.2657,0.4108,0.7454,0.5941,0.8344,0.9987,21.5154
29,0.2639,0.4208,0.7341,0.5799,0.8182,0.9987,21.9664
