epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.5337,1.3760,0.4102,0.2580,0.6999,0.9968,355.0327
2,1.2666,1.1749,0.4719,0.3088,0.7871,0.9964,58.7729
3,1.0981,1.0484,0.5944,0.4229,0.8612,0.9972,39.0460
4,0.9771,1.0591,0.5329,0.3633,0.8866,0.9962,45.4840
5,0.8195,0.9911,0.6230,0.4524,0.9106,0.9972,39.9926
6,0.6833,0.7764,0.6818,0.5172,0.9006,0.9979,34.4972
7,0.5820,0.6714,0.7266,0.5706,0.8651,0.9985,25.9528
8,0.5244,0.5592,0.7364,0.5827,0.8695,0.9985,23.5926
9,0.4941,0.5248,0.7443,0.5927,0.8509,0.9986,22.1187
10,0.4769,0.5104,0.7490,0.5987,0.8560,0.9987,21.7003
11,0.4652,0.5081,0.7475,0.5968,0.8448,0.9987,21.6109
12,0.4560,0.5247,0.7315,0.5766,0.8211,0.9987,22.8758
13,0.4474,0.4992,0.7555,0.6071,0.8557,0.9987,21.7500
14,0.4407,0.4973,0.7620,0.6155,0.8592,0.9987,21.8508
15,0.4341,0.5052,0.7553,0.6068,0.8480,0.9987,22.1287
16,0.4280,0.5043,0.7544,0.6056,0.8456,0.9987,21.7685
17,0.4213,0.5012,0.7544,0.6057,0.8492,0.9987,21.8574
18,0.4156,0.5052,0.7544,0.6056,0.8484,0.9987,21.9818
19,0.4104,0.5015,0.7557,0.6073,0.8520,0.9987,22.4211
20,0.4031,0.5052,0.7518,0.6023,0.8490,0.9987,21.9682
21,0.3980,0.4992,0.7583,0.6107,0.8618,0.9987,22.3772
22,0.3934,0.5089,0.7520,0.6026,0.8424,0.9987,22.7001
23,0.3891,0.5129,0.7518,0.6024,0.8381,0.9987,22.3591
