epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,6.9191,5.3573,0.6229,0.4523,0.8422,0.9977,204.6140
2,4.6203,3.8531,0.6876,0.5239,0.8533,0.9982,40.9660
3,3.4710,3.0213,0.7417,0.5894,0.8619,0.9986,21.8319
4,2.8268,2.7846,0.7478,0.5972,0.8477,0.9987,20.5794
5,2.6403,2.8074,0.7241,0.5675,0.8190,0.9986,23.0086
6,2.5515,2.6531,0.7498,0.5998,0.8610,0.9986,19.0486
7,2.4711,2.6580,0.7446,0.5931,0.8431,0.9987,17.4306
8,2.3994,2.7188,0.7385,0.5854,0.8535,0.9986,19.6550
9,2.3311,2.6499,0.7118,0.5526,0.8619,0.9983,20.3251
10,2.2751,2.6244,0.7535,0.6045,0.8520,0.9987,18.1171
11,2.2288,2.6324,0.7371,0.5837,0.8471,0.9986,18.3827
12,2.1862,2.6289,0.7488,0.5985,0.8483,0.9987,17.8216
13,2.1502,2.6962,0.7330,0.5785,0.8242,0.9987,19.2101
14,2.1130,2.6931,0.7372,0.5837,0.8352,0.9987,20.7130
15,2.0910,2.6365,0.7414,0.5891,0.8443,0.9986,17.8134
16,2.0659,2.6411,0.7492,0.5990,0.8415,0.9987,18.4963
17,2.0466,2.6774,0.7342,0.5800,0.8338,0.9986,18.9843
18,2.0254,2.6854,0.7362,0.5825,0.8415,0.9986,19.7353
19,2.0077,2.6857,0.7432,0.5914,0.8383,0.9987,19.0741
20,1.9879,2.6560,0.7473,0.5966,0.8402,0.9987,17.6318
21,1.9737,2.6705,0.7447,0.5933,0.8345,0.9987,18.2949
22,1.9571,2.6315,0.7448,0.5933,0.8432,0.9987,17.4470
