rank,sample_id,teacher_dice,student_dice,dice_gap,teacher_hd95,student_hd95,hd95_gap
1,2983,0.8419,0.0000,0.8419,2.83,118.73,115.91
2,3014,0.7826,0.0000,0.7826,2.83,121.03,118.20
