epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.0162,0.5859,0.7151,0.5565,0.8475,0.9984,26.0883
2,0.4613,0.4240,0.7282,0.5725,0.8500,0.9985,22.9623
3,0.3744,0.3931,0.7476,0.5969,0.8656,0.9986,20.8765
4,0.3379,0.3986,0.7391,0.5862,0.8386,0.9987,20.0895
5,0.3152,0.3876,0.7519,0.6024,0.8574,0.9987,19.8162
6,0.2961,0.3948,0.7589,0.6115,0.8470,0.9988,19.0692
7,0.2827,0.3973,0.7537,0.6047,0.8496,0.9987,20.6995
8,0.2698,0.3910,0.7460,0.5949,0.8488,0.9987,19.9841
9,0.2609,0.3978,0.7453,0.5939,0.8536,0.9986,21.4579
10,0.2538,0.4048,0.7346,0.5806,0.8326,0.9986,20.1613
11,0.2465,0.3834,0.7637,0.6177,0.8637,0.9987,19.9756
12,0.2410,0.4044,0.7425,0.5904,0.8291,0.9987,20.1718
13,0.2355,0.4045,0.7448,0.5933,0.8352,0.9987,20.3291
14,0.2301,0.3933,0.7591,0.6117,0.8519,0.9987,19.2943
15,0.2270,0.3835,0.7486,0.5982,0.8599,0.9986,20.8053
16,0.2230,0.3960,0.7575,0.6097,0.8625,0.9987,21.6880
17,0.2173,0.3992,0.7480,0.5975,0.8378,0.9987,20.3215
18,0.2139,0.3928,0.7563,0.6081,0.8503,0.9987,19.3689
19,0.2112,0.3975,0.7489,0.5987,0.8399,0.9987,19.6872
20,0.2086,0.3951,0.7575,0.6097,0.8441,0.9988,18.5130
21,0.2061,0.3922,0.7557,0.6073,0.8467,0.9987,19.7461
22,0.2041,0.4006,0.7468,0.5960,0.8348,0.9987,19.7173
23,0.2007,0.3922,0.7596,0.6124,0.8515,0.9987,20.4972
24,0.1986,0.3991,0.7519,0.6024,0.8422,0.9987,19.2927
25,0.1981,0.3982,0.7507,0.6009,0.8385,0.9987,19.8815
26,0.1948,0.3971,0.7553,0.6068,0.8441,0.9987,19.7988
