epoch,train_loss,val_loss,val_dice,val_iou,val_acc,val_acc_pixel,val_hd95
1,1.5391,1.3939,0.2116,0.1183,0.7092,0.9911,356.3838
2,1.2802,1.3141,0.1779,0.0976,0.8555,0.9810,197.4977
3,1.1011,1.0127,0.5662,0.3949,0.9035,0.9965,46.5808
4,0.9479,1.0772,0.5737,0.4022,0.8807,0.9968,39.8105
5,0.7771,0.9186,0.6123,0.4412,0.9290,0.9969,36.5922
6,0.6292,0.7277,0.6943,0.5317,0.9014,0.9980,29.6053
7,0.5064,0.5835,0.7113,0.5520,0.8748,0.9983,26.6299
8,0.4330,0.4725,0.7259,0.5697,0.8637,0.9985,24.1322
9,0.3953,0.4255,0.7371,0.5836,0.8764,0.9985,24.1806
10,0.3751,0.4132,0.7503,0.6004,0.8548,0.9987,22.0084
11,0.3597,0.4086,0.7534,0.6044,0.8528,0.9987,21.4301
12,0.3465,0.4026,0.7523,0.6030,0.8472,0.9987,21.2444
13,0.3388,0.4033,0.7596,0.6124,0.8598,0.9987,21.8707
14,0.3307,0.4003,0.7583,0.6107,0.8562,0.9987,21.5958
15,0.3239,0.4030,0.7594,0.6121,0.8513,0.9987,21.3284
16,0.3188,0.4079,0.7570,0.6090,0.8488,0.9987,21.3469
